text	category
കുറ്റവാളികളായാലും അല്ലാത്തവരായാലും, പ്രായമായവരായാലും ചെറുപ്പക്കാരായാലും നമ്മൾ എല്ലാവരും ഭൂതകാലത്തെ അംഗീകരിക്കണം. നാമെല്ലാവരും അതിന്റെ അനന്തരഫലങ്ങളാൽ ബാധിക്കപ്പെടുകയും അവയ്ക്ക് ഉത്തരവാദികളായിരിക്കുകയും ചെയ്യുന്നു. [...] ഇത് ഭൂതകാലവുമായി പൊരുത്തപ്പെടുന്നതിനെക്കുറിച്ചല്ല. നിങ്ങൾക്ക് അത് ചെയ്യാൻ കഴിയില്ല. ഇത് പിന്നീട് മാറ്റാനോ പഴയപടിയാക്കാനോ കഴിയില്ല. എന്നാൽ ഭൂതകാലത്തിലേക്ക് കണ്ണുകൾ അടയ്ക്കുന്ന ഏതൊരാളും വർത്തമാനകാലത്തിലേക്ക് അന്ധനാകുന്നു. മനുഷ്യത്വമില്ലായ്മയെ ഓർക്കാൻ ആഗ്രഹിക്കാത്ത ഏതൊരാളും അണുബാധയുടെ പുതിയ അപകടസാധ്യതകൾക്ക് ഇരയാകും. [1985 മെയ് 8-ന് ജർമ്മൻ ബണ്ടെസ്റ്റാഗിലെ പ്ലീനറി ഹാളിൽ നടന്ന അനുസ്മരണ വേളയിൽ നടത്തിയ പ്രസംഗം]	സങ്കടം 
ചില ഓർമ്മകളെ ചില്ലുകുപ്പിയിൽ ഇട്ടുവെക്കണം.. എന്നിട്ട് എവിടെയെങ്കിലും എറിഞ്ഞുടക്കണം	സങ്കടം 
ഞങ്ങളുടെ പാട്ടുകൾ ആളുകളെ സ്പർശിക്കുന്നു, തീവ്രവാദ ഭീഷണി ഇല്ലാതിരുന്ന, നിങ്ങളുടെ വാതിലുകൾ പൂട്ടേണ്ടിവരാത്ത, അമ്മയും അച്ഛനും എല്ലാം പരിപാലിക്കുന്ന ഒരു കാലഘട്ടത്തിലേക്ക് അവരെ തിരികെ കൊണ്ടുപോകുന്നു.	ഭയം 
 മറ്റാരെയെങ്കിലും സഹായിക്കാൻ ചിന്തിക്കുന്നതിന് മുമ്പ് അവന്റെ അതിജീവനം വരേണ്ടതായിരുന്നു. അത് അങ്ങനെ തന്നെയായിരിക്കണം.	സങ്കടം 
ജീവിതത്തിന്റെ സങ്കീർണ്ണതയിൽ, വെളിപാട് മാർഗ്ഗനിർദ്ദേശ നക്ഷത്രമാണ്.	അത്ഭുതം 
 എങ്കിലും എന്റെ ശരീരം മുഴുവൻ ക്ഷമാപണം കൊണ്ട് നിർമ്മിതമാണ്. വഴിയുണ്ടാക്കിയതിനും, കൂടുതൽ സമയം എടുത്തതിനും, പ്രതികരിക്കാത്തതിനും ക്ഷമാപണം.	സങ്കടം 
നമ്മുടെ വിശ്വാസങ്ങളെ അടിസ്ഥാനമാക്കിയുള്ള ഫലങ്ങളെ സ്വാധീനിക്കുന്ന, സ്വയം നിറവേറ്റുന്ന ഒരു പ്രവചനമായി അവ വർത്തിക്കുന്നു.	പ്രേതീക്ഷ 
"അത് അവനാണ്,"" ബെർത്തോൾഡ് പറഞ്ഞു, ""എന്റെ കൈ മുറിക്കുക. ഒരു കോടാലി കൊണ്ട് ""സ്നീപ്പ് ജിൻക്സിലേക്ക് തിരിഞ്ഞു. ""അത് ശരിയാണോ?""""അതെ,"" ജിൻക്സ് പറഞ്ഞു. ""എന്നാൽ അവൻ-""""കുറ്റക്കാരനാണ്,"" സ്നീപ്പ് പറഞ്ഞു."	കുറ്റബോധം 
സാധാരണ നിമിഷങ്ങളെ അസാധാരണമായ ഓർമ്മകളാക്കി മാറ്റുന്ന മാന്ത്രിക വടിയാണ് സർപ്രൈസ്.	അത്ഭുതം 
ആശ്ചര്യകരമായ ഒരു കുടുംബ സംഗമം സന്തോഷത്തിന്റെയും ചിരിയുടെയും കണ്ണുനീർ സമ്മാനിച്ചു.	അത്ഭുതം 
നിങ്ങളുെട സ്വകാര്യ ബ്ലാഗിേലക്കോ ഓൺൈലൻ എഴുത്തുകളിേലക്കോ അനധികൃത ആക് സസ് കകണ്ടെത്തുന്നു.	ദേഷ്യം 
ആൾക്കൂട്ടത്തിൽ നിന്ന് എന്റെ കണ്ണുകൾ മോഷ്ടിച്ചതിനും എന്നിൽ നിന്ന് എന്റെ ഹൃദയം മോഷ്ടിച്ചതിനും നന്ദി.	സ്നേഹം 
നിങ്ങളുടെ വേദനയും കോപവും കടന്നുപോകും, പക്ഷേ കുറ്റബോധം എക്കാലവും നിങ്ങളോടൊപ്പമുണ്ടാകും.	കുറ്റബോധം 
നന്ദി നിറഞ്ഞ ഹൃദയത്തോടെ, ഞാൻ സ്നേഹിക്കുന്നവർക്കായി ഞാൻ നിശബ്ദമായ ഒരു ആഗ്രഹം പ്രകടിപ്പിക്കുന്നു.	പ്രേതീക്ഷ 
എന്റെ ജന്മദിനത്തിൽ ചിന്തനീയമായ ഒരു സമ്മാനം അഴിച്ചുമാറ്റുന്നതിന്റെ ആവേശം അതിരൂക്ഷമായിരുന്നു.	സന്തോഷം 
വർദ്ധിച്ചുവരുന്ന പണപ്പെരുപ്പ നിരക്ക് വ്യാപകമായ നിരാശയോടെയാണ് നേരിട്ടത്.	ഭയം 
മറ്റൊരു വ്യക്തിയുടെ സന്തോഷം നിങ്ങളുടേതിന് അനിവാര്യമായ അവസ്ഥയാണ് സ്നേഹം	സ്നേഹം 
ക്ലയന്റിന്റെ ആവശ്യങ്ങൾ നിറവേറ്റുന്നതാണ് ഞങ്ങളുടെ ടീമിൽ നിന്ന് ഞങ്ങൾ പ്രതീക്ഷിക്കുന്നത്.	പ്രേതീക്ഷ 
 നിങ്ങളുടെ ഭൂതകാലത്തിൽ നിന്ന് ഓടിപ്പോകുന്നത് ഒരു ഉത്തരമല്ല, മണലിൽ വരയ്ക്കുന്ന വരകൾ പോലെ ഇത് ഒരു താൽക്കാലിക പ്രതിവിധി മാത്രമാണ്, ഒരു ചെറിയ ശ്വാസം അതിനെ അപ്രത്യക്ഷമാക്കുന്നു.	കുറ്റബോധം 
ഞാൻ ശരിക്കും അമ്പരന്നിരിക്കുകയാണ്!	അഭിനന്ദനം
ഒരു വീട്ടുപകരണ റിപ്പയർസേവനത്തിൽ സ്ഥിരവും പരിഹരിക്കപ്പെടാത്തതുമായ പ്രശ്നങ്ങൾ സഹിച്ചുനിൽക്കുന്നു.	ദേഷ്യം 
പരസ്പരബന്ധിതമായ നമ്മുടെ ആത്മാക്കളുടെ നിശബ്ദ കവിതയാണ് സ്നേഹം.	സ്നേഹം 
ഒരു സൂപ്പർൈവസർ നൽകിയ കൃത്യമല്ലാത്ത ഡാറ്റെയ അടിസ്ഥാനമാക്കിയുള്ള തീരുമാനത്തിന് വിമർശനംനേരിടുന്നു..	ദേഷ്യം 
ഒരു വേനൽക്കാല ദിവസത്തിൽ നേരിയ മഴയുടെ അനുഭവം ഒരു സ്വാഭാവിക ആനന്ദം കൊണ്ടുവന്നു.	സന്തോഷം 
 ഹെൻറി അവളുടെ കൈകൾ കൊണ്ട് മാത്രം അവളെ ചേർത്തുനിർത്താൻ കഴിയും എന്ന മട്ടിൽ സ്വയം പിടിച്ചു, അവളുടെ എല്ലാ വ്യാജ നിയന്ത്രണങ്ങൾക്കും പിന്നിൽ-അധ്യാപികയുടെ നേരെ എറിയുകയും ഞങ്ങളുടെ അച്ഛനെ അവളുടെ ഹൃദയത്തിൽ നിന്ന് വെട്ടിമാറ്റുകയും ചെയ്യുന്നത് - ഞാൻ കണ്ടു. ഞങ്ങൾ ഇത് എത്രയും വേഗം കണ്ടിരുന്നെങ്കിൽ എന്ന് ഞാൻ ആഗ്രഹിക്കുന്നു-എന്റെ അച്ഛനും മിസ്റ്റർ ഫ്ലിനും, അത് കാണാനും നന്നായി ചെയ്യാനും അവർക്ക് ഉത്തരവാദിത്തമുണ്ടായിരുന്നു. ആ നിമിഷങ്ങൾ എന്റെ സഹോദരി പുറത്തേക്ക് കറങ്ങുകയായിരുന്നു.	കുറ്റബോധം 
ശക്തിയില്ലാത്തതായിതോന്നുന്നു	ദേഷ്യം 
പരാജയത്തെ ഭയന്ന്, അവൻ എടുത്ത എല്ലാ തീരുമാനങ്ങളും രണ്ടാമതായി ഊഹിച്ചു.	ഭയം 
ഒരു സൃഷ്ടിപരമായ ബ്ലോക്കിലോ പ്രശ്നപരിഹാര നിമിഷത്തിലോ ഒരു വഴിത്തിരിവ് അനുഭവിക്കുന്നതിന്റെ ആനന്ദം ബുദ്ധിപരമായി സംതൃപ്തികരമായിരുന്നു.	സന്തോഷം 
പ്രിയപ്പെട്ട ഓൺലൈൻ ഗെയിമിന് ഫീസ് വർദ്ധിപ്പിച്ചതിന്റെ അറിയിപ്പ് ലഭിക്കുന്നു വ്യക്തമായ ന്യായീകരണമില്ലാതെ സബ്സ്ക്രിപ്ഷൻ.	ദേഷ്യം 
യാത്ര എത്ര കഠിനമായിരുന്നിട്ടും, എല്ലായ്പ്പോഴും എത്തിച്ചേരാൻ യോഗ്യമായ ഒരു ലക്ഷ്യസ്ഥാനമുണ്ടെന്ന് വിശ്വസിക്കപ്പെടുന്നു.	പ്രേതീക്ഷ 
മറ്റൊരു വ്യക്തിയെ നിയന്ത്രിക്കാൻ ഭയം, ബാധ്യത, കുറ്റബോധം എന്നിവ ഉപയോഗിക്കുന്നതാണ് ഇമോഷണൽ ബ്ലാക്ക് മെയിൽ.	സങ്കടം 
ജീവിതത്തിന്റെ സ്വരച്ചേർച്ചയിൽ, സ്നേഹമാണ് ഏറ്റവും ആകർഷകമായ രാഗം.	സ്നേഹം 
ഒരു ദിശയെപ്പോലെ, അഭിലാഷങ്ങൾ നമ്മെ നമ്മുടെ യഥാർത്ഥ വടക്കോട്ട്-നമ്മുടെ അഗാധമായ ആഗ്രഹങ്ങളിലേക്ക്-വിരൽ ചൂണ്ടുന്നു.	പ്രേതീക്ഷ 
വ്യക്തിപരമായ ആവശ്യങ്ങൾക്ക് മുൻഗണന നൽകുന്നതും നിറവേറ്റുന്നതും മൊത്തത്തിലുള്ള ക്ഷേമം വർദ്ധിപ്പിക്കുന്നു.	സന്തോഷം 
എനിക്ക് ഇപ്പോൾ തീ തുപ്പാൻ കഴിയുന്നത്ര ദേഷ്യമുണ്ട്	ദേഷ്യം 
ശരി, എന്നെ തൂക്കിലേറ്റും!	അഭിനന്ദനം
ഞാൻ നിന്നെ സ്നേഹിക്കുന്നു, ഞാൻ മരിക്കുന്നതുവരെ നിന്നെ സ്നേഹിക്കും, അതിനുശേഷം ഒരു ജീവിതം ഉണ്ടെങ്കിൽ, ഞാൻ നിന്നെ സ്നേഹിക്കും	സ്നേഹം 
വിമർശനങ്ങളെ ഭയന്ന് അദ്ദേഹം തന്റെ അഭിപ്രായങ്ങൾ തന്നിൽത്തന്നെ സൂക്ഷിച്ചു.	ഭയം 
 ദുഷ്ടന്മാർ നല്ലതിനെ ഭയപ്പെടുന്നു, കാരണം നല്ലവർ അവരുടെ മനസ്സാക്ഷിക്ക് നിരന്തരമായ നിന്ദയാണ്. ചത്തതോ കമ്പിളിക്ക് പിന്നിലോ ഉള്ള സിംഹങ്ങളെ ഇഷ്ടപ്പെടുന്നതുപോലെ ഭക്തിയില്ലാത്തവർ മതത്തെ ഇഷ്ടപ്പെടുന്നു. മതം അഴിഞ്ഞാടുകയും അവരുടെ മനസ്സാക്ഷിയെ വെല്ലുവിളിക്കാൻ തുടങ്ങുകയും ചെയ്യുമ്പോൾ അവർ ഭയപ്പെടുന്നു.	കുറ്റബോധം 
എല്ലാ ദിവസവും ഒരു പുതിയ ദിവസമാണ്.	സന്തോഷം 
ഒന്നിലധികം പരാതികൾ ഉണ്ടായിരുന്നിട്ടും ബഹളമയമായ അയൽക്കാരിൽ നിന്നുള്ള നിരന്തരമായ തടസ്സങ്ങൾ സഹിക്കുന്നു.	ദേഷ്യം 
വാത്സല്യത്തോടെയുള്ള ആംഗ്യങ്ങൾ ബന്ധങ്ങളുടെ ഘടനയെ ശക്തിപ്പെടുത്തുന്നു.	സ്നേഹം 
നിങ്ങളുടെ കുത്തനെയുള്ള രോഗശാന്തി സവാരിയിൽ നിങ്ങൾക്ക് നല്ലതും ചീത്തയുമായ ദിവസങ്ങൾ ഉണ്ടായേക്കാം	കുറ്റബോധം 
നഗരത്തിൽ പകർച്ചവ്യാധി പൊട്ടിപ്പുറപ്പെട്ടുവെന്ന അപ്രതീക്ഷിത വാർത്ത വ്യാപകമായ പരിഭ്രാന്തി സൃഷ്ടിച്ചു.	ഭയം 
പെട്ടെന്നുള്ള കാറ്റ് വിജനമായ തെരുവിലെ മൊത്തത്തിലുള്ള അസ്വസ്ഥത വർദ്ധിപ്പിച്ചു.	ഭയം 
ബ്രാവൊ! നിങ്ങളുടെ ഫാഷൻ തിരഞ്ഞെടുപ്പുകൾ വളരെ ധീരമാണ്; ദൈനംദിന വസ്ത്രങ്ങൾക്കായി നിങ്ങൾ ഒരു കോസ്റ്റ്യൂം ഷോപ്പിൽ റെയ്ഡ് ചെയ്തതുപോലെയാണ് ഇത്.	പരിഹാസം 
നിങ്ങളുെട സ്വകാര്യ ആേരാഗ്യരേഖകളിേലക്കുള്ള അനധികൃത ആക് സസ് കകണ്ടെത്തുന്നു.	ദേഷ്യം 
ഏറെക്കാലമായി നഷ്ടപ്പെട്ട ഒരു സുഹൃത്തിന്റെ സന്ദർശനവാർത്ത അവളെ ആഹ്ലാദഭരിതയാക്കി.	സന്തോഷം 
ഒരു ദിവസം, എല്ലാവരേയും അത്ഭുതപ്പെടുത്തിക്കൊണ്ട്, ആരോ പൊടി കെഗിൽ ഒരു തീപ്പെട്ടി ഇടുകയും എല്ലാം പൊട്ടിത്തെറിക്കുകയും ചെയ്യുന്നു.	അത്ഭുതം 
മുറിവുകൾ സുഖപ്പെടുത്തുകയും ആശ്വാസം നൽകുകയും ചെയ്യുന്ന സൌമ്യമായ സ്പർശമാണ് സ്നേഹം.	സ്നേഹം 
ദൈവമേ, ഞാൻ എന്തായിരുന്നാലും ഇനി ഞാനില്ല....എല്ലാം മറന്നു, ക്ഷമിച്ചില്ലെങ്കിൽ-അതിലേക്ക് വരാമായിരുന്നു. പക്ഷെ ആ ചിന്തയിൽ എനിക്ക് വിശ്വാസമില്ല. ഇനി ആരും ശ്രദ്ധിക്കുന്നില്ലെന്ന് സങ്കൽപ്പിക്കുന്നത് വളരെ എളുപ്പമോ ഭയങ്കരമോ ആയതുകൊണ്ടാണോ എന്ന് എനിക്കറിയില്ല.	സങ്കടം 
 നിങ്ങളുടെ ഭാവി നിർണ്ണയിക്കാൻ നിങ്ങൾക്ക് അധികാരമുണ്ട്!	കുറ്റബോധം 
 ഒരിക്കലും വായിച്ചിട്ടില്ലാത്ത പുസ്തകങ്ങൾ പോലെ പശ്ചാത്താപം നമുക്ക് ചുറ്റും കുന്നുകൂടുന്നു.	സങ്കടം 
വ്യക്തമായ ന്യായീകരണമില്ലാെത ഒരു പ്രാേദശിക കമ്മ്യൂണിറ്റി ഗാർഡനിനുള്ള ഫീസ് വർദ്ധിപ്പിച്ചതിന്റെ അറിയിപ്പ്	ദേഷ്യം 
 അവൾ പ്രാർത്ഥിക്കാൻ ആഗ്രഹിച്ചു. എല്ലാം ശരിയാകുമെന്ന് ആരെങ്കിലും തന്നോട് പറയണമെന്ന് അവൾ ആഗ്രഹിച്ചു. എല്ലാം അവളുടെ തെറ്റല്ലെന്ന് ആരെങ്കിലും പറയണമെന്ന് അവൾ ആഗ്രഹിച്ചു.പക്ഷെ അവൾ നക്ഷത്രങ്ങളിൽ വിശ്വസിച്ചില്ല. തന്നെ രക്ഷിക്കാൻ മറ്റാരെയും ആശ്രയിക്കുന്നതിനേക്കാൾ നന്നായി അവൾക്ക് അറിയാമായിരുന്നു. പിന്നെ എല്ലാം അവളുടെ തെറ്റായിരുന്നു.	കുറ്റബോധം 
 കുരിശുയുദ്ധങ്ങളിൽ ക്ഷമാപണം നടത്തുന്നതിനായി പ്രദേശത്ത് പര്യടനം നടത്തുന്ന ഒരു അമേരിക്കൻ പ്രതിനിധി സംഘമാണ് അവർ,' അറഫാത്ത് പറഞ്ഞു. അപ്പോൾ അവനും അവന്റെ അതിഥിയും പൊട്ടിച്ചിരിച്ചു. പതിനൊന്നാം നൂറ്റാണ്ടിനും പതിമൂന്നും നൂറ്റാണ്ടിലെ യുദ്ധങ്ങളിൽ അമേരിക്കയ്ക്ക് കാര്യമായ പങ്കും ഇല്ലെന്നോ അവർക്കറിയാമായിരുന്നു. എന്നാൽ, തങ്ങൾക്കുണ്ടെന്ന് വിശ്വസിക്കുന്ന ആരുടെയെങ്കിലും കഷ്ടപ്പാടുകളിൽ ഏർപ്പെടാനും അത് സ്വന്തം രാഷ്ട്രീയ നേട്ടത്തിനായി ഉപയോഗിക്കാനും അറഫാത്ത് സന്തോഷവാനായിരുന്നു.	സങ്കടം 
നിങ്ങൾക്ക് എങ്ങനെയുണ്ട് എന്ന ലളിതമായ ഉത്തരം നൽകിയതിന് നിങ്ങളുടെ വൈദഗ്ധ്യത്തെ ഞാൻ അഭിനന്ദിക്കണം. ഒരു ദാർശനിക അന്വേഷണത്തിലേക്ക്.	പരിഹാസം 
ഞാൻ നിന്നെ സ്നേഹിക്കാൻ തുടങ്ങിയ നിമിഷം മുതൽ എല്ലാ വേദനകളും എന്നിൽ നിന്ന് അപ്രത്യക്ഷമായി	സ്നേഹം 
 എല്ലാ ദുരുപയോഗവും ഒരു തവണയോ അനന്തമായ തവണയോ നടന്നാലും ദോഷകരവും ദോഷകരവുമാണ്.	കുറ്റബോധം 
 ചിലപ്പോഴൊക്കെ, എല്ലാവരും എന്നെ തള്ളിയിട്ടതോ, ഉപേക്ഷിച്ചതോ, കൊല്ലാൻ ശ്രമിച്ചതോ, അല്ലെങ്കിൽ എന്നോടൊപ്പം ഓടാൻ വിസമ്മതിച്ചതോ ആയ രീതി കണക്കിലെടുക്കുമ്പോൾ, ഒരുപക്ഷേ ഞാൻ അതിന് അർഹനല്ലെന്ന് എനിക്ക് തോന്നി. ഒരുപക്ഷേ ഞാൻ തനിച്ചായിരിക്കണം. ഒരുപക്ഷെ ഞാൻ തന്നെയാകാം പോരായ്മ, അതുകൊണ്ടായിരിക്കാം എല്ലാവരും എന്നെ ഉപേക്ഷിച്ചത്.	സങ്കടം 
ഒരു നീണ്ട ദിവസത്തിന് ശേഷം മൃദുവായ തലയിണയുടെ വികാരം ശാന്തമായ ആനന്ദം കൊണ്ടുവന്നു.	സന്തോഷം 
ചിത്ത  കേൾകും എന്നു തോന്നുന്നു 	ഭയം 
ഒരു അലങ്കോലമായ ഇടം സംഘടിപ്പിച്ചതിന് ശേഷമുള്ള നേട്ടത്തിന്റെ വികാരം ആഭ്യന്തര ആനന്ദം കൊണ്ടുവന്നു.	സന്തോഷം 
 ദൈവം ആരാണെന്ന് നിങ്ങളുടെ കുട്ടികൾക്ക് അറിയാമെങ്കിൽ, നിങ്ങളോ അവരോ എവിടെ വീട്ടിലേക്ക് വിളിച്ചാലും അവർ ആരാണെന്ന് അവർക്കറിയാം.	കുറ്റബോധം 
കോളേജിൽ പോകാൻ പണം വേണം. ജോലിക്ക് കോളേജ് വേണം. പണത്തിന് ഒരു ജോലി വേണം. ആരാണ് ഈ സംവിധാനത്തിന് പിന്നിലെ സൂത്രധാരൻ?	പരിഹാസം 
വെല്ലുവിളി നിറഞ്ഞ ഒരു ക്രോസ്വേഡ് പസിൽ പൂർത്തിയാക്കുന്നത് ഭാഷാപരമായ നേട്ടവും ആനന്ദവും കൊണ്ടുവന്നു.	സന്തോഷം 
കച്ചവടക്കാരെ കൊണ്ട് നിറഞ്ഞ ഒരു തെരുവ് മാർക്കറ്റ് പെട്ടെന്ന് പ്രത്യക്ഷപ്പെട്ടത് സജീവമായ അന്തരീക്ഷം സൃഷ്ടിച്ചു.	അത്ഭുതം 
അറിയപ്പെടാത്ത വെള്ളത്തിൽ സഞ്ചരിക്കുന്ന ഒരു ക്യാപ്റ്റനെപ്പോലെ, വിശ്വാസം നമ്മെ അനിശ്ചിതത്വങ്ങളുടെ കടലിലൂടെ നയിക്കുന്നു.	പ്രേതീക്ഷ 
 കുറ്റബോധത്തിന് പല്ലുകൾ ഉണ്ടായിരുന്നു, അത് എങ്ങനെ മെരുക്കണമെന്ന് അറിയില്ലെങ്കിൽ അത് ആളുകളെ തിന്നു	സങ്കടം 
ഞാൻ പാലങ്ങൾ കത്തിക്കുന്നില്ല. ഞാൻ ഓരോ ദിവസവും അൽപ്പം ബോൾട്ടുകൾ അഴിക്കുന്നു	പരിഹാസം 
കവിതകൾ രചിക്കുന്ന ഒരു കവിയെപ്പോലെ, അഭിലാഷങ്ങൾ നമ്മുടെ ദൈനംദിന ജീവിതത്തിൽ താളവും അർത്ഥവും പകരുന്നു.	പ്രേതീക്ഷ 
 എന്നെത്തന്നെ പരിപാലിക്കാൻ എനിക്ക് അനുവാദമുണ്ട്!	സങ്കടം 
ഹാപ്പി വൈബ്സ് മാത്രം	സന്തോഷം 
വാത്സല്യ സ്പർശം പരിചരണത്തിന്റെ സാർവത്രിക പ്രകടനമാണ്.	സ്നേഹം 
വിദൂരമായ, വേട്ടയാടുന്ന ചിരി ശൂന്യമായ സ്ഥലത്ത് പ്രതിധ്വനിച്ചു, ഭയം ഉണർത്തുന്നു.	ഭയം 
പിരിയാൻ നേരം അവൾ പറഞ്ഞു	സങ്കടം 
വിധിക്കപ്പെടുമെന്ന് ഭയന്ന് അവൾ വികാരങ്ങൾ മറച്ചുവെച്ചു.	ഭയം 
ഞങ്ങളുടെ പ്രദേശത്തോടുള്ള വിലമതിപ്പ് പ്രകടിപ്പിക്കുന്നതിനായി ഞങ്ങൾ ഒരു സർപ്രൈസ് അയൽപക്ക ശുചീകരണ ദിനം സംഘടിപ്പിച്ചു.	അഭിനന്ദനം
മൂടൽമഞ്ഞിൽ ഒരു നിഗൂഢ രൂപം ഉത്കണ്ഠ ജനിപ്പിച്ചു.	ഭയം 
വരാനിരിക്കുന്ന പ്രതിസന്ധിയെക്കുറിച്ചുള്ള അസ്വസ്ഥപ്പെടുത്തുന്ന വാർത്താ റിപ്പോർട്ട് നഗരത്തിലെ പൊതുവായ അസ്വസ്ഥത വർദ്ധിപ്പിച്ചു.	ഭയം 
എന്നെങ്കിലും ആ സന്തോഷം നീ  മനസിലാക്കും 	സന്തോഷം 
സ്നേഹത്തിൽ, പങ്കിട്ട ലളിതവും എന്നാൽ അഗാധവുമായ നിമിഷങ്ങൾക്ക് നന്ദിയുടെ ഒരു അർത്ഥമുണ്ട്.	സ്നേഹം 
നിങ്ങളുെട സ്വകാര്യ ഇടത്തെ ബഹുമാനിക്കുന്നതിൽ സ്ഥിരമായി പരാജയപ്പെടുന്ന ഒരു സുഹൃത്തുമായി ഇടപെടൽ.	ദേഷ്യം 
ഫാഷനിൽ നിങ്ങളുടെ അഭിരുചി ശരിക്കും ദർശനാത്മകമാണ്; ഇത് ഉരുളക്കിഴങ്ങ് ചാക്ക് ധരിച്ച് അവന്റ്-ഗാർഡ് എന്ന് വിളിക്കുന്നത് പോലെയാണ്.	പരിഹാസം 
അകലെയുള്ള ഇടിമുഴക്കങ്ങൾ അടുത്തുവരുന്ന കൊടുങ്കാറ്റിനായി കാത്തിരിക്കുന്നവരുടെ ആശങ്ക വർദ്ധിപ്പിച്ചു.	ഭയം 
നിങ്ങൾ മിണ്ടാതിരിക്കുമ്പോൾ നിങ്ങൾ എപ്പോഴും എനിക്ക് ഒരു ഉപകാരം ചെയ്യുന്നു!	പരിഹാസം 
ബ്രാവൊ! നിങ്ങളുടെ ഫാഷൻ തിരഞ്ഞെടുപ്പുകൾ വളരെ ധീരമാണ്; ദൈനംദിന വസ്ത്രങ്ങൾക്കായി നിങ്ങൾ ഒരു കോസ്റ്റ്യൂം ഷോപ്പിൽ റെയ്ഡ് ചെയ്തതുപോലെയാണ് ഇത്.	പരിഹാസം 
 ഞാൻ പലപ്പോഴും സാധനങ്ങൾ വാങ്ങുന്നു, അൽപ്പം കുറ്റബോധം തോന്നുന്നു, പക്ഷേ അത് വളരെ വിലപ്പെട്ടതാണെന്ന് ഞാൻ കരുതുന്നു.	കുറ്റബോധം 
കൊള്ളാം, നിങ്ങളുടെ വിനയം ശരിക്കും വിസ്മയകരമാണ്; ഇത് ലോകത്തിലെ ഏറ്റവും വലിയ അഹങ്കാരം എളിമയുടെ വേഷം ധരിച്ചതുപോലെയാണ്.	പരിഹാസം 
പുരാതന ശവകുടീരത്തിന്റെ ഇരുണ്ട രഹസ്യങ്ങൾ അവർ വെളിപ്പെടുത്തിയപ്പോൾ ഭയം വായുവിൽ പറ്റിപ്പിടിച്ചു.	ഭയം 
ഷോക്ക് ഇല്ലാതെ ജീവിതത്തിന്റെ പസിൽ അപൂർണ്ണമാണ്.	അത്ഭുതം 
